Patient [setID=1, patientID=E46749, firstName=JOHN, lastName=DOE, middleInitial=C, prefix=, suffix=JR, race=White, primaryLanguage=ENGLISH, ssn=523-96-8712, phoneNumber=270-600-9800, sex=M, dob=01/01/1999, patientDeathInd=false, dod=null, address=115 MAINSTREET GOODTOWN KY 42010 USA]
Patient [setID=1, patientID=E46700, firstName=JOHN, lastName=WAYNE, middleInitial=, prefix=, suffix=J, race=White, primaryLanguage=ENGLISH, ssn=523-96-8712, phoneNumber=270-600-9800, sex=M, dob=05/26/1907, patientDeathInd=false, dod=null, address=3160 AIRWAY AVE COSTA MESA CA 92626 USA]
Patient [setID=1, patientID=10006579, firstName=GREGORY, lastName=PECK, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=04/05/1916, patientDeathInd=false, dod=null, address=100 LANCASTER AVE WYNEWOOD PA 19096 ]
Patient [setID=1, patientID=10006579, firstName=PENELOPE, lastName=CRUZ, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=F, dob=04/28/1974, patientDeathInd=false, dod=null, address=350 S BEVERLY DR HOLLYWOOD CA 90069 ]
Patient [setID=1, patientID=10006579, firstName=MARK, lastName=WAHLBERG, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=06/05/1971, patientDeathInd=false, dod=null, address=9601 WILSHIRE BLVD BEVERLY HILLS CA 90210 ]
Patient [setID=0, patientID=PATID1234, firstName=JENNIFER, lastName=ANISTON, middleInitial=A, prefix=null, suffix=III, race=White, primaryLanguage=null, ssn=123-45-6789, phoneNumber=919-379-1212, sex=F, dob=02/11/1969, patientDeathInd=false, dod=null, address=411 RANCH PARK PL ESCONDIDO CA 99999 99999-1020]
Patient [setID=1, patientID=10006579, firstName=JOHNNY, lastName=CARSON, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=10/23/1925, patientDeathInd=false, dod=null, address=6962 WILDLIFE RD MALIBU CA 99999 ]
Patient [setID=1, patientID=10006579, firstName=JACK, lastName=NICHOLSON, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=04/22/1937, patientDeathInd=false, dod=null, address=12850 MULHOLLAND DR BEVERLY HILLS CA 99999 ]
Patient [setID=1, patientID=10006579, firstName=SCARLET, lastName=JOHANSSON, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=F, dob=11/22/1984, patientDeathInd=false, dod=null, address=1234  NEW YORK 0 100130000]
Patient [setID=1, patientID=10006579, firstName=CHRISTIAN, lastName=BALE, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=01/30/1974, patientDeathInd=false, dod=null, address=3456 WILSHIRE BLVD BEVERLY HILLS CA 99999 ]
Patient [setID=1, patientID=E46749, firstName=GENE, lastName=HACKMAN, middleInitial=, prefix=, suffix=JR, race=White, primaryLanguage=ENGLISH, ssn=523-96-8712, phoneNumber=270-600-9800, sex=M, dob=01/30/1930, patientDeathInd=false, dod=null, address=1424 OLD SUNSET TRAIL SANTA FE NM 87501 USA]
Patient [setID=1, patientID=E46700, firstName=LAWRENCE, lastName=OLIVIER, middleInitial=, prefix=, suffix=, race=White, primaryLanguage=ENGLISH, ssn=523-96-8712, phoneNumber=270-600-9800, sex=M, dob=05/22/1907, patientDeathInd=false, dod=null, address=115 MAINSTREET GOODTOWN KY 42010 USA]
Patient [setID=1, patientID=10006579, firstName=MATT, lastName=DAMON, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=10/08/1970, patientDeathInd=false, dod=null, address=916 W BURBANK BLVD BURBANK CA 91506 ]
Patient [setID=1, patientID=10006579, firstName=WILL, lastName=FERRELL, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=07/16/1967, patientDeathInd=false, dod=null, address=370 LEXINGTON AVE NEW YORK NY 10017 ]
Patient [setID=1, patientID=10006579, firstName=NICHOLAS, lastName=CAGE, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=01/07/1964, patientDeathInd=false, dod=null, address=715 SAN VICENTE BLVD WEST HOLLYWOOD CA 90069 ]
Patient [setID=0, patientID=PATID1234, firstName=HALLE, lastName=BERRY, middleInitial=, prefix=null, suffix=SR, race=White, primaryLanguage=null, ssn=123-45-6789, phoneNumber=919-379-1212, sex=F, dob=08/14/1966, patientDeathInd=false, dod=null, address=13341 LORRAIN AVE CLEVELAND OH 27401 27401-1020]
Patient [setID=1, patientID=10006579, firstName=UMA, lastName=THURMAN, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=F, dob=04/29/1970, patientDeathInd=false, dod=null, address=150 5TH AVE NEW YORK NY 10010 ]
Patient [setID=1, patientID=10006579, firstName=ERICH, lastName=BERGEN, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=12/31/1985, patientDeathInd=false, dod=null, address=655 PENN AVE PITTSBURGH PA 15222 ]
Patient [setID=1, patientID=10006579, firstName=CUBA, lastName=GOODING, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=01/02/1968, patientDeathInd=false, dod=null, address=2186 CLARK ST DETROIT MI 34567 ]
Patient [setID=1, patientID=10006579, firstName=KEVIN, lastName=COSTNER, middleInitial=null, prefix=null, suffix=null, race=Other Race, primaryLanguage=null, ssn=123-12-1234, phoneNumber=888-555-1212, sex=M, dob=01/18/1955, patientDeathInd=false, dod=null, address=999 OCEAN PARK BLVD SANTA MONICA CA 90405 ]
Patient [setID=1, patientID=E46749, firstName=JAMES, lastName=DEAN, middleInitial=, prefix=, suffix=, race=White, primaryLanguage=ENGLISH, ssn=523-96-8712, phoneNumber=270-600-9800, sex=M, dob=02/08/1931, patientDeathInd=false, dod=null, address=115 MAINSTREET GOODTOWN KY 42010 USA]
